Accession	Virus_Name	NCBI_Taxonomy	Viruses	Realm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species
YP_009553549	Cacao bacilliform Sri Lanka virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus theobromae	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553581	Andrena haemorrhoa nege-like virus	Viruses;Riboviria;Negevirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553582	Andrena haemorrhoa nege-like virus	Viruses;Riboviria;Negevirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553583	Andrena haemorrhoa nege-like virus	Viruses;Riboviria;Negevirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553586	Hepacivirus P	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Hepacivirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Flasuviricetes	-	Amarillovirales	-	Flaviviridae	-	Hepacivirus	-	-
YP_009553587	Gigaspora margarita mitovirus 2	Viruses;Riboviria;Orthornavirae;Lenarviricota;Howeltoviricetes;Cryppavirales;Mitoviridae;Duamitovirus;Duamitovirus gima2	Viruses	Riboviria	Orthornavirae	Lenarviricota	-	Howeltoviricetes	-	Cryppavirales	-	Mitoviridae	-	Duamitovirus	-	Duamitovirus gima2
YP_009553599	Leptosphaeria biglobosa mitovirus 1	Viruses;Riboviria;Orthornavirae;Lenarviricota;Howeltoviricetes;Cryppavirales;Mitoviridae;Unuamitovirus;Unuamitovirus lebi1	Viruses	Riboviria	Orthornavirae	Lenarviricota	-	Howeltoviricetes	-	Cryppavirales	-	Mitoviridae	-	Unuamitovirus	-	Unuamitovirus lebi1
YP_009553600	Blackbird arilivirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Picornavirales	-	-	-	-	-	-
YP_009553601	Blackbird arilivirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Picornavirales	-	-	-	-	-	-
YP_009553622	Cluster bean endornavirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Endornaviridae	-	-	-	-
YP_009553632	Trichoderma asperellum dsRNA virus 1	Viruses;Riboviria;dsRNA viruses	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553633	Trichoderma asperellum dsRNA virus 1	Viruses;Riboviria;dsRNA viruses	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553634	Blechomonas luni narnavirus 1	Viruses;Riboviria;Orthornavirae;Lenarviricota;Amabiliviricetes;Wolframvirales;Narnaviridae;Narnavirus	Viruses	Riboviria	Orthornavirae	Lenarviricota	-	Amabiliviricetes	-	Wolframvirales	-	Narnaviridae	-	Narnavirus	-	-
YP_009553635	Phytophthora infestans RNA virus 2	Viruses;Riboviria	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553638	Culex Iflavi-like virus 4	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Iflaviridae	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Picornavirales	-	Iflaviridae	-	-	-	-
YP_009553641	Blackcurrant-associated closterovirus 1	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Closteroviridae;Closterovirus;Blackcurrant closterovirus 1	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Closteroviridae	-	Closterovirus	-	Blackcurrant closterovirus 1
